district_name,county_name,need_score,birth_cohort,subsidy_cost,averted_societal,net_benefit,benefit_cost_ratio
Hajdúnánási,Hajdú-Bihar,0.5232359681652449,279.12766067931153,6866540.452711064,11084652.197824331,4218111.745113267,1.6142994094570375
Kaposvári,Somogy,0.5230414469941724,957.6511022140755,23558217.114466257,36953565.57775795,13395348.46329169,1.5686062064122028
Jászberényi,Jász-Nagykun-Szolnok,0.5185335051424033,495.5619076207713,12190822.927470973,13912480.736656733,1721657.80918576,1.141225725238462
Hajdúböszörményi,Hajdú-Bihar,0.5005661336495835,382.01947580514786,9397679.104806637,15170667.829156097,5772988.72434946,1.6142994094570378
Körmendi,Vas,0.4983012425094538,218.2391763280137,5368683.737669136,5505378.653401524,136694.91573238745,1.0254615325490815
Szarvasi,Békés,0.49026540235698285,213.57895858545115,5254042.381202099,4151779.143857592,-1102263.2373445071,0.7902066337934041
Szigetvári,Baranya,0.48657761856647264,203.49779026200866,5006045.640445413,3600718.8059649817,-1405326.8344804314,0.7192740667151823
Balassagyarmati,Nógrád,0.4841799119546359,346.78410352687206,8530888.946761053,8960063.21294502,429174.26618396677,1.0503082702004827
Komlói,Baranya,0.48020116643675587,273.7542742230241,6734355.145886392,4843847.012486021,-1890508.1334003713,0.7192740667151825
Debreceni,Hajdú-Bihar,0.46215190678662976,2223.099905844407,54688257.683772415,88283222.0831481,33594964.39937569,1.6142994094570375
Tiszaújvárosi,Borsod-Abaúj-Zemplén,0.4569505683946729,336.7373664153895,8283739.213818581,10054664.83536431,1770925.6215457292,1.2137833622999077
Szentlőrinci,Baranya,0.4477160205667204,122.97942868625799,3025293.9456819464,2176015.4793194733,-849278.4663624731,0.7192740667151822
Szolnoki,Jász-Nagykun-Szolnok,0.43510090708874916,1094.8982557130034,26934497.090539884,30738340.976084616,3803843.885544732,1.1412257252384617
Hegyháti,Baranya,0.4329798232872194,96.52960903291381,2374628.3822096796,1708008.6134092505,-666619.7688004291,0.7192740667151823
Celldömölki,Vas,0.43205781291725126,198.07584796074562,4872665.859834341,4996731.400225312,124065.54039097112,1.0254615325490817
