district_id,district_name,county_id,county_name,nuts3_code,is_budapest_district,pop,jobseekers,jobseeker_rate,county_cases,pop_share,lambda,lambda_lo,lambda_hi,county_child_pop,pop_child,pop_u5,burden_rate,burden_rate_u5,komplex_mutato,kedvezmenyezett_290,komplex_program_290,deprivation_290,evidence_class,confidence,vacant_paed,vacant_any,vacant_paed_practice_rate
040,Kiskunfélegyházi,03,Bács-Kiskun,,False,22812.0,720.4166666666667,0.03158060085335204,127,0.07207036433256246,9.152936270235433,4.576468135117716,13.729404405353149,71938,5184.597869355878,1762.7632755809987,176.5409102282521,5.192379712595651,4112,1,0,0.3532571821955208,estimated,low,1.0,1.0,4.38365772400491
041,Kiskunhalasi,03,Bács-Kiskun,,False,26075.0,924.5,0.03545541706615532,127,0.08237921926931291,10.462160847202739,5.2310804236013695,15.693241270804108,71938,5926.196275795832,2014.9067337705828,176.5409102282521,5.192379712595651,4126,1,0,0.34435595969773414,estimated,low,3.0,5.0,11.505273250239693
042,Kiskunmajsai,03,Bács-Kiskun,,False,12092.0,410.75,0.03396873966258684,127,0.03820247437793027,4.851714245997145,2.4258571229985724,7.2775713689957175,71938,2748.2096017995477,934.3912646118463,176.54091022825213,5.192379712595651,3404,1,0,0.8034047199407351,estimated,low,1.0,1.0,8.269930532583526
043,Kunszentmiklósi,03,Bács-Kiskun,,False,18460.0,875.1666666666666,0.04740881184543156,127,0.05832101199277148,7.406768523081978,3.703384261540989,11.110152784622967,71938,4195.496960735994,1426.4689666502381,176.54091022825213,5.192379712595651,3387,1,0,0.8142133472594761,estimated,low,4.0,6.0,21.668472372697725
044,Tiszakécskei,03,Bács-Kiskun,,False,15348.0,384.0,0.02501954652071931,127,0.04848921408803124,6.158130189179968,3.079065094589984,9.237195283769951,71938,3488.217083064791,1185.993808242029,176.54091022825213,5.192379712595651,3947,1,0,0.4581644473480072,estimated,low,1.0,1.0,6.515506906437321
045,Békési,04,Békés,,False,20974.0,1423.0833333333333,0.06784987762626744,131,0.10575837031060911,13.854346510689794,6.927173255344897,20.78151976603469,41222,4359.571540943929,1482.254323920936,317.79147057396534,9.346807958057804,4196,1,0,0.2998498472088005,estimated,low,0.0,6.0,0.0
046,Békéscsabai,04,Békés,,False,46927.0,2219.9166666666665,0.04730574438311988,131,0.23662263009277934,30.997564542154095,15.498782271077047,46.49634681323114,41222,9754.05805768455,3316.379739612747,317.7914705739654,9.346807958057806,5489,0,0,-0.522241630622502,estimated,low,1.0,1.0,2.1309693779700387
047,Gyomaendrődi,04,Békés,,False,13137.0,779.8333333333333,0.05936159955342417,131,0.06624142799515934,8.677627067365872,4.338813533682936,13.016440601048808,41222,2730.6041448164583,928.4054092375959,317.7914705739653,9.346807958057802,3927,1,0,0.47088047948770256,estimated,low,7.0,8.0,53.284615970160615
048,Gyulai,04,Békés,,False,23274.0,824.0833333333334,0.03540789435994386,131,0.11735578862444535,15.373608309802341,7.6868041549011705,23.06041246470351,41222,4837.640318676886,1644.7977083501412,317.7914705739654,9.346807958057806,5221,0,0,-0.35184679995058465,estimated,low,1.0,2.0,4.296640027498496
049,Mezőkovácsházai,04,Békés,,False,20898.0,1539.5,0.07366733658723323,131,0.10537515127067366,13.80414481645825,6.902072408229125,20.706217224687375,41222,4343.77448567971,1476.8833251311014,317.79147057396534,9.346807958057804,2782,1,1,1.1988733194852597,estimated,low,3.0,11.0,14.35544071202986
