district_id,s0_statusquo,s1_percapita,s2_epi,s3_socio,s4_capacity,s5_fullneed,s6_costgap,s7_statutory,district_name,county_id,county_name,nuts3_code,need_score,need_rank,score_socioeconomic,pop,lambda
051,0.0,5138982.844110833,6255772.386299873,13350010.744789766,13544161.672318023,6776707.54129632,1352970.1124344494,15616137.585877784,Sarkadi,04,Békés,,0.6191619876870401,29,1.0202324663672317,12808.0,8.460306575231948
052,0.0,6184192.893213638,7528124.593226105,5293934.763974845,22547769.832280155,7753680.0948139075,1628148.6838657223,18792280.497433968,Szarvasi,04,Békés,,0.49026540235698285,54,-0.46264747977305265,15413.0,10.181035699878985
053,0.0,6698572.656342158,8154287.944197095,10983318.858298363,27049484.6629647,8761313.440909376,1763572.4568311316,20355357.354483888,Szeghalmi,04,Békés,,0.5978120620014734,32,0.20449559508161905,16695.0,11.027859015732151
054,0.0,3790039.9707581927,8595221.476513237,20842760.612178236,41124.33438711905,9849176.314206814,1858935.5637274722,11517023.39445671,Cigándi,05,Borsod-Abaúj-Zemplén,,0.7705589461856596,10,3.4905436494151445,9446.0,11.624177524836503
055,0.0,7941991.444123191,18011201.980320033,30212513.85606384,18070709.575556464,21169453.282878395,3895381.1717575258,24133809.13295322,Edelényi,05,Borsod-Abaúj-Zemplén,,0.8417868487714039,4,2.0472923622105554,19794.0,24.358349558184813
056,0.0,5383333.293210107,12208563.047890972,32035260.88080929,58412.576166840605,14137133.799962806,2640412.709986396,16358660.055412417,Encsi,05,Borsod-Abaúj-Zemplén,,0.7997636612839146,8,3.874914560296292,13417.0,16.51086066596775
057,0.0,4298401.2499187505,9748105.830815827,21468585.55404659,46640.376274529575,11031040.931309031,2108276.169194623,13061811.52072991,Gönci,05,Borsod-Abaúj-Zemplén,,0.7360297478421299,14,3.0607702750963117,10713.0,13.183338325595326
058,0.0,15380436.396260194,34880438.79517065,33298181.491778493,4663020.961679376,36472613.85878367,7543783.290743722,46737461.124254614,Kazincbarcikai,05,Borsod-Abaúj-Zemplén,,0.528188802184196,48,0.6517386635163535,38333.0,47.172305426588785
059,0.0,3554115.399214066,8060181.223687727,14757669.593210194,38564.40334544786,8913503.2481684,1743219.48163222,10800105.148009479,Mezőcsáti,05,Borsod-Abaúj-Zemplén,,0.6737954196009643,23,2.3436794792776734,8858.0,10.900589086915282
060,0.0,9879943.281807085,22406175.48567245,22464638.412901577,9099470.611673966,24017721.291916147,4845906.13182567,30022780.443055477,Mezőkövesdi,05,Borsod-Abaúj-Zemplén,,0.5917232348751496,34,0.7443613294791164,24624.0,30.302111726823423
061,0.0,58166240.15676947,131911990.4963633,86234398.07506919,86057676.75386862,139332765.32317683,28529327.730045307,0.0,Miskolci,05,Borsod-Abaúj-Zemplén,,0.5538391320020073,42,0.07074479709963907,144969.0,178.39777594728173
062,0.0,12390453.56097647,28099622.529769775,56952588.22730405,31607378.660590954,34060623.87939932,6077259.066638584,37651619.67438256,Ózdi,05,Borsod-Abaúj-Zemplén,,0.9307357838291981,2,2.7218707691933197,30881.0,38.00192950926064
063,0.0,4503430.937094003,10213081.288628476,15581380.534733605,48865.07825122001,11058916.889210943,2208838.9548250213,13684847.61585667,Putnoki,05,Borsod-Abaúj-Zemplén,,0.6180646097366592,30,1.7542007060216231,11224.0,13.81217113474115
064,0.0,5422654.055134128,12297736.42336189,14514479.701450255,9051106.200208109,13686296.445395727,2659698.723668938,16478146.429820288,Sárospataki,05,Borsod-Abaúj-Zemplén,,0.6908241475154423,21,1.0873591739879176,13515.0,16.63145873895462
